ClockBuilding,,,,,,,,,
1536*2048,,Red,Green,Blue,,,,,
resolution,value,count,count,count,,,,,
3145728,161,21555,17608,3177,,,,,
3145728,162,26325,33301,4056,,,,,
3145728,163,21090,35050,2050,,,,,
3145728,164,13907,35947,3719,,,,,
3145728,165,9504,18643,2809,,,,,
3145728,166,10678,35538,3619,,,,,
3145728,167,10521,36642,3345,,,,,
3145728,168,8687,38400,3541,,,,,
3145728,169,7204,40251,3224,,,,,
3145728,170,6038,38158,3418,,,,,
3145728,171,5121,32717,3045,,,,,
3145728,172,6031,24942,3258,,,,,
3145728,173,4500,25175,3287,,,,,
3145728,174,5475,10706,3035,,,,,
3145728,175,4216,8549,4296,,,,,
3145728,176,5234,8183,2909,,,,,
3145728,177,5015,11806,2710,,,,,
3145728,178,4819,7735,3111,,,,,
3145728,179,4651,10317,4865,,,,,
3145728,180,4536,6685,2695,,,,,
3145728,181,5298,3238,3565,,,,,
3145728,182,5111,4325,5273,,,,,
3145728,183,4255,3607,4104,,,,,
3145728,184,4802,3850,5126,,,,,
3145728,185,4614,3307,5474,,,,,
3145728,186,4237,3694,7731,,,,,
3145728,187,5429,3681,11450,,,,,
3145728,188,3972,3610,11769,,,,,
3145728,189,5244,4073,14741,,,,,
3145728,190,3738,3562,12827,,,,,
3145728,191,4856,2910,16022,,,,,
3145728,192,4557,3933,19477,,,,,
3145728,193,4642,3529,22735,,,,,
3145728,194,4344,3675,24951,,,,,
3145728,195,4337,3440,26287,,,,,
3145728,196,4227,4558,28550,,,,,
3145728,197,5055,3368,39385,,,,,
3145728,198,4811,3256,40949,,,,,
3145728,199,4684,4059,37897,,,,,
3145728,200,4313,2837,37548,,,,,
3145728,201,4162,3867,41128,,,,,
3145728,202,4080,3707,42462,,,,,
3145728,203,4550,3509,41576,,,,,
3145728,204,4401,3404,30501,,,,,
3145728,205,4201,3195,17208,,,,,
3145728,206,4688,3127,12073,,,,,
3145728,207,3912,2850,9995,,,,,
3145728,208,4313,3498,9560,,,,,
3145728,209,4731,2837,9121,,,,,
3145728,210,4159,3336,4657,,,,,
3145728,211,4457,3205,2570,,,,,
3145728,212,4338,3035,1935,,,,,
3145728,213,5062,3690,1686,,,,,
3145728,214,3998,3449,1960,,,,,
3145728,215,4755,3343,1618,,,,,
3145728,216,4523,3739,1453,,,,,
3145728,217,4986,3126,1032,,,,,
3145728,218,4836,3706,1483,,,,,
3145728,219,4568,3224,981,,,,,
3145728,220,4292,3849,1217,,,,,
3145728,221,4744,3039,799,,,,,
3145728,222,4574,3520,1200,,,,,
3145728,223,4843,2652,1014,,,,,
3145728,224,4339,3823,1120,,,,,
3145728,225,4535,2671,1018,,,,,
3145728,226,4099,3002,1305,,,,,
3145728,227,4459,2519,1150,,,,,
3145728,228,4604,2201,1113,,,,,
3145728,229,4584,2187,1159,,,,,
3145728,230,4354,2173,838,,,,,
3145728,231,4619,2453,952,,,,,
3145728,232,4713,1988,730,,,,,
3145728,233,4158,2335,812,,,,,
3145728,234,4356,1668,615,,,,,
3145728,235,4164,1724,679,,,,,
3145728,236,4232,1809,538,,,,,
3145728,237,3690,1536,688,,,,,
3145728,238,3458,1585,565,,,,,
3145728,239,3154,1559,602,,,,,
3145728,240,3021,1511,544,,,,,
3145728,241,2990,1345,462,,,,,
3145728,242,2749,1145,314,,,,,
3145728,243,2828,1078,259,,,,,
3145728,244,2587,1039,205,,,,,
3145728,245,2458,913,173,,,,,
3145728,246,2153,834,145,,,,,
3145728,247,2024,867,159,,,,,
3145728,248,1940,793,122,,,,,
3145728,249,1520,545,104,,,,,
3145728,250,1602,265,92,,,,,
3145728,251,1539,167,82,,,,,
3145728,252,918,272,189,,,,,
3145728,253,415,62,141,,,,,
3145728,254,0,0,0,,,,,
3145728,255,0,0,0,,,,,
,,,,,,,,,
