Apartment_float_o15C,,,,,,,,,
2048*1536,,Red,Green,Blue,,,,,
resolution,value,count,count,count,,,,,
3145728,157,4227,4010,4677,,,,,
3145728,158,5172,4149,5260,,,,,
3145728,159,4489,4663,5018,,,,,
3145728,160,3694,3816,4425,,,,,
3145728,161,4069,4731,4975,,,,,
3145728,162,5004,3974,5250,,,,,
3145728,163,3739,4634,4955,,,,,
3145728,164,5045,4877,5771,,,,,
3145728,165,3665,4291,4484,,,,,
3145728,166,5140,4692,5454,,,,,
3145728,167,3816,5106,4842,,,,,
3145728,168,5351,4498,5316,,,,,
3145728,169,5465,4955,5495,,,,,
3145728,170,5489,4867,5365,,,,,
3145728,171,5475,4765,4977,,,,,
3145728,172,5320,4687,5081,,,,,
3145728,173,5121,4505,4573,,,,,
3145728,174,5019,4663,4799,,,,,
3145728,175,4793,4683,4660,,,,,
3145728,176,4592,4683,4276,,,,,
3145728,177,6015,6583,5949,,,,,
3145728,178,4510,4906,4444,,,,,
3145728,179,5905,6494,5655,,,,,
3145728,180,5645,6057,5148,,,,,
3145728,181,5629,6018,5331,,,,,
3145728,182,5487,5943,5034,,,,,
3145728,183,5252,5667,4812,,,,,
3145728,184,5085,5385,4460,,,,,
3145728,185,5270,5342,4740,,,,,
3145728,186,5619,6500,4877,,,,,
3145728,187,4506,4904,3972,,,,,
3145728,188,5071,5953,4662,,,,,
3145728,189,5782,5886,4833,,,,,
3145728,190,4860,5438,4272,,,,,
3145728,191,5745,5597,4534,,,,,
3145728,192,5701,5657,4378,,,,,
3145728,193,4586,6064,4354,,,,,
3145728,194,5581,6003,4570,,,,,
3145728,195,5199,5825,4065,,,,,
3145728,196,4961,5638,3798,,,,,
3145728,197,6053,6174,3900,,,,,
3145728,198,4726,5543,3950,,,,,
3145728,199,4355,5004,3584,,,,,
3145728,200,5681,6459,4873,,,,,
3145728,201,5440,5997,5025,,,,,
3145728,202,4200,4409,3769,,,,,
3145728,203,5441,5691,4797,,,,,
3145728,204,6740,6700,5620,,,,,
3145728,205,5252,4800,4256,,,,,
3145728,206,5595,4592,4011,,,,,
3145728,207,7099,5222,4765,,,,,
3145728,208,7572,5006,4513,,,,,
3145728,209,8415,5039,4329,,,,,
3145728,210,9265,4990,4015,,,,,
3145728,211,10972,6107,4472,,,,,
3145728,212,8431,6201,4348,,,,,
3145728,213,13155,6472,4441,,,,,
3145728,214,9983,7910,5132,,,,,
3145728,215,8928,6958,4249,,,,,
3145728,216,11999,9566,5812,,,,,
3145728,217,11854,9982,5621,,,,,
3145728,218,12303,12470,7114,,,,,
3145728,219,12325,13375,8153,,,,,
3145728,220,12676,11847,8373,,,,,
3145728,221,18205,13129,9974,,,,,
3145728,222,20233,12977,12303,,,,,
3145728,223,26395,14563,16097,,,,,
3145728,224,25721,12185,11398,,,,,
3145728,225,37598,15393,13352,,,,,
3145728,226,49916,20619,16937,,,,,
3145728,227,42666,20791,15111,,,,,
3145728,228,37856,24268,16003,,,,,
3145728,229,26585,27827,18865,,,,,
3145728,230,21481,38991,20455,,,,,
3145728,231,24465,53066,20279,,,,,
3145728,232,27132,48607,22496,,,,,
3145728,233,13943,30114,34579,,,,,
3145728,234,10923,28041,50803,,,,,
3145728,235,9487,20086,41376,,,,,
3145728,236,12760,17519,47471,,,,,
3145728,237,35913,19669,33207,,,,,
3145728,238,60380,28303,24071,,,,,
3145728,239,25732,15593,21114,,,,,
3145728,240,7335,20066,22850,,,,,
3145728,241,1569,59733,27660,,,,,
3145728,242,1267,49103,21806,,,,,
3145728,243,1584,10472,57479,,,,,
3145728,244,3755,1069,54142,,,,,
3145728,245,7105,2386,17615,,,,,
3145728,246,689,8937,1247,,,,,
3145728,247,62,1330,15,,,,,
3145728,248,8,19,5,,,,,
3145728,249,6,14,11,,,,,
3145728,250,2,8,5,,,,,
3145728,251,0,1,1,,,,,
3145728,252,0,0,0,,,,,
3145728,253,0,0,0,,,,,
3145728,254,0,0,0,,,,,
3145728,255,0,0,0,,,,,
